,image_type,oddball,mark,rts,resps
0,1,0,0,0.6018126970283353,z
1,1,0,0,0.48459601198026037,z
2,1,0,0,0.4850351639815993,z
3,0,0,2,0.5346746359931116,m
4,0,0,2,0.434729061991749,m
5,0,0,2,0.3345656589884751,m
6,0,0,2,0.3677309190171565,m
7,0,0,2,0.3520196100043149,m
8,0,0,2,0.3842835979956454,m
9,0,1,3,0.6011607639984371,m
10,1,0,0,0.48461095101990725,m
11,1,0,0,0.501276750993217,z
12,1,0,0,0.4346879529976573,z
13,1,1,1,0.31808793200049745,z
14,1,1,1,0.43482988498658526,z
15,0,0,2,0.46790720200505964,z
16,1,0,0,0.5514791829991914,z
17,0,0,2,0.48548293599876247,z
18,1,0,0,0.4680283739913036,z
19,0,0,2,0.4683794269955823,m
20,0,0,2,0.41810647102817566,m
21,1,0,0,0.4681423259764048,z
22,1,0,0,0.40163590602725474,z
23,0,0,2,0.418137486004035,z
24,1,0,0,0.46807967300917297,m
25,0,0,2,0.3511686830009144,m
26,1,0,0,0.41801401301808516,z
27,1,0,0,0.3348919609867571,z
28,1,0,0,0.3345424080077295,z
29,0,0,2,0.43477882697132597,m
30,1,0,0,0.40114204100191264,z
31,0,0,2,0.43488266302140133,m
32,0,0,2,0.4504276290319491,m
33,1,1,1,0.4682988199883067,z
34,0,1,3,0.4344749580003491,z
35,0,0,2,0.5346297829963569,m
36,1,0,0,0.4012102720001367,z
37,1,0,0,0.4671534619919615,z
38,0,0,2,0.43446368901574917,m
39,1,0,0,0.4014307679919116,z
40,0,0,2,0.5344524269680702,m
41,0,0,2,0.45116185801115805,m
